Date,SystemType,Species,Location,WaterTemperature,Salinity,PHLevel,DissolvedOxygen,NitrogenLevel,PhosphorusLevel,StockingDensity,FeedConversionRatio,YieldKgPerM3,MarketPrice,OperatingCosts,GrossRevenue,EconomicPotential,MarketDemandGrowth,SustainabilityScore
2022-12-22,Inland Raceway System,Barramundi,Ecuador,26.37,30.35,7.53,4.41,2.74,0.21,190.51,1.96,-89.96,3.91,-224.9,-351.88,-126.97,2.0,55.67
2020-01-14,Coastal Intensive Pond,Chinook Salmon,Ecuador,26.07,31.31,7.61,7.96,1.7,0.32,63.97,1.07,-27.16,6.35,-86.92,-172.35,-85.44,3.0,67.46
2020-03-20,Recirculating Aquaculture System (RAS) - Industrial Scale,Atlantic Salmon,USA (Gulf Coast),27.95,36.57,7.65,6.38,2.67,0.23,74.24,1.57,-4.48,5.85,-14.35,-26.22,-11.87,3.0,50.46
2020-11-12,Reservoir Aquaculture,Gilthead Sea Bream,Chile,23.47,32.86,8.43,6.71,1.9,0.37,156.83,1.73,-44.4,5.96,-182.02,-264.4,-82.38,2.5,92.46
2020-12-30,Offshore Cage System,Chinook Salmon,Australia (West Coast),28.34,37.47,8.45,5.63,2.12,0.21,195.95,1.26,-268.94,6.33,-860.62,-1702.76,-842.14,3.0,81.56
2022-08-04,Recirculating Aquaculture System (RAS) - Small Scale,Gilthead Sea Bream,Brazil,22.07,39.36,7.37,10.08,2.81,0.21,92.12,1.46,-2.87,6.69,-11.78,-19.22,-7.44,2.5,98.33
2021-06-29,Recirculating Aquaculture System (RAS) - Small Scale,Tilapia (Nile),USA (Gulf Coast),25.7,32.46,6.74,5.33,2.93,0.32,190.42,1.13,-94.71,3.69,-198.9,-349.59,-150.69,4.0,54.86
2019-08-21,Inland Raceway System,White Leg Shrimp,Canada (British Columbia),22.29,31.57,7.68,6.84,3.04,0.41,103.92,1.59,21.45,8.14,96.52,174.63,78.11,3.5,95.66
2019-03-15,Inland Raceway System,European Eel,China (Inland Provinces),23.29,36.55,9.43,6.86,3.07,0.4,183.5,1.7,-180.23,3.95,-450.57,-711.54,-260.97,2.0,54.7
2020-03-09,Integrated Multi-Trophic Aquaculture (IMTA) - Coastal,Gilthead Sea Bream,Ecuador,19.57,35.25,8.66,3.2,2.84,0.14,54.58,1.23,10.7,7.09,43.87,75.89,32.02,2.5,76.11
2019-01-06,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Catfish (Channel),Greece,20.33,32.85,7.84,4.9,2.61,0.3,131.1,1.3,38.52,4.32,96.29,166.38,70.09,2.0,98.79
2020-08-22,Offshore Cage System,Gilthead Sea Bream,USA (Gulf Coast),11.87,35.56,7.17,7.28,2.1,0.29,53.8,1.27,-36.61,7.12,-150.09,-260.78,-110.69,2.5,58.66
2018-05-13,Offshore Cage System,Barramundi,Chile,30.31,33.58,7.17,8.65,2.7,0.17,193.23,1.78,-197.69,4.14,-494.23,-817.98,-323.75,2.0,80.59
2021-01-21,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,European Eel,USA (Gulf Coast),14.4,33.55,8.13,4.94,2.72,0.38,121.13,1.11,-46.41,4.07,-116.02,-188.93,-72.91,2.0,71.69
2019-05-20,Coastal Intensive Pond,European Eel,Portugal,21.47,39.9,6.78,5.34,2.57,0.44,125.47,1.07,-70.69,4.25,-176.71,-300.3,-123.58,2.0,58.15
2022-10-09,Recirculating Aquaculture System (RAS) - Industrial Scale,Gilthead Sea Bream,Canada (Atlantic),23.0,33.2,7.53,5.42,2.56,0.37,108.23,1.71,74.93,6.26,307.2,469.0,161.8,2.5,69.31
2021-07-14,Recirculating Aquaculture System (RAS) - Industrial Scale,Catfish (Channel),Spain,22.35,35.84,7.19,5.69,2.25,0.24,67.72,1.75,64.86,4.22,162.15,273.5,111.35,2.0,93.87
2018-11-08,Coastal Intensive Pond,Atlantic Salmon,Indonesia,26.06,36.89,7.09,5.16,2.87,0.36,198.58,1.3,-13.04,5.45,-41.71,-71.01,-29.3,3.0,96.54
2021-06-08,Deep Sea Cage System,Atlantic Salmon,Thailand,27.81,34.35,8.05,7.24,2.91,0.43,98.01,1.51,-52.37,5.48,-167.58,-286.8,-119.23,3.0,50.54
2018-01-05,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Giant River Prawn,USA (Hawaii),23.62,34.61,7.55,6.89,2.09,0.51,93.98,1.73,97.91,4.26,244.77,417.38,172.61,2.0,89.48
2020-02-16,Recirculating Aquaculture System (RAS) - Small Scale,European Sea Bass,Canada (British Columbia),25.34,34.96,7.05,6.11,2.16,0.4,102.64,1.46,30.05,5.54,123.21,166.43,43.22,2.5,88.08
2018-02-04,Recirculating Aquaculture System (RAS) - Small Scale,Giant River Prawn,Canada (Atlantic),17.89,35.73,7.62,5.24,2.26,0.32,62.73,1.85,32.77,3.95,81.92,129.32,47.4,2.0,97.36
2018-02-23,Integrated Multi-Trophic Aquaculture (IMTA) - Coastal,Catfish (Channel),Spain,19.61,32.84,7.39,6.47,3.24,0.39,66.68,1.45,19.31,3.56,48.27,68.77,20.5,2.0,73.43
2018-07-08,Recirculating Aquaculture System (RAS) - Small Scale,White Leg Shrimp,Norway,23.61,32.52,7.76,8.3,2.45,0.34,92.86,1.52,12.18,6.44,54.79,78.46,23.67,3.5,99.65
2021-07-05,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Carp (Silver),Portugal,26.92,35.29,7.11,6.04,2.75,0.45,118.18,1.79,22.61,4.17,56.51,94.25,37.74,2.0,95.06
2020-09-05,Offshore Cage System,White Leg Shrimp,Vietnam,32.95,32.58,7.08,5.1,1.44,0.25,137.55,0.93,-169.88,8.62,-764.45,-1464.32,-699.86,3.5,90.69
2018-06-18,Coastal Extensive Pond,Catfish (Channel),Vietnam,23.81,32.3,7.75,4.02,3.42,0.42,198.09,1.36,20.7,4.18,51.74,86.51,34.77,2.0,69.04
2021-05-12,Coastal Extensive Pond,Gilthead Sea Bream,Norway,21.43,38.71,6.7,5.1,2.5,0.3,165.35,1.41,-52.0,7.15,-213.19,-372.04,-158.85,2.5,56.46
2019-08-22,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Carp (Silver),Portugal,14.0,35.36,7.76,7.07,1.94,0.15,67.03,1.88,-8.53,4.1,-21.32,-34.99,-13.66,2.0,88.62
2021-06-07,Integrated Multi-Trophic Aquaculture (IMTA) - Coastal,White Leg Shrimp,Canada (Atlantic),27.9,35.2,8.53,8.63,2.38,0.4,70.1,1.95,-60.29,7.98,-271.31,-481.38,-210.07,3.5,60.65
2020-02-11,Inland Raceway System,European Eel,China (Southern Coast),26.39,38.18,6.62,4.23,1.48,0.27,127.1,1.72,-73.4,3.97,-183.51,-291.43,-107.92,2.0,81.1
2019-12-02,Inland Raceway System,Gilthead Sea Bream,Australia (West Coast),13.48,34.83,7.69,5.95,1.47,0.29,145.01,1.17,-3.83,5.38,-15.71,-20.64,-4.92,2.5,67.28
2021-05-07,Recirculating Aquaculture System (RAS) - Industrial Scale,Black Tiger Shrimp,Norway,24.44,34.81,7.98,4.52,2.75,0.25,76.55,1.26,67.21,6.15,302.45,413.05,110.6,3.5,73.04
2019-09-03,Offshore Cage System,Carp (Common),USA (Hawaii),19.23,31.41,8.48,6.05,2.15,0.32,181.04,1.76,-233.55,3.61,-583.88,-844.15,-260.27,2.0,87.41
2021-08-25,Offshore Cage System,Carp (Common),Canada (Atlantic),18.9,33.41,7.21,5.59,1.35,0.15,119.38,1.91,33.33,3.59,83.32,119.6,36.28,2.0,62.62
2022-06-28,Reservoir Aquaculture,Black Tiger Shrimp,Thailand,24.88,35.93,9.04,7.68,2.44,0.2,129.89,1.44,-139.82,6.58,-629.18,-919.48,-290.3,3.5,66.1
2022-09-18,Recirculating Aquaculture System (RAS) - Industrial Scale,Tilapia (Blue),Turkey,21.76,33.06,6.96,8.53,2.94,0.3,63.04,1.94,1.2,3.7,2.53,4.46,1.93,4.0,87.27
2020-07-07,Inland Raceway System,Atlantic Salmon,Canada (Atlantic),16.81,34.43,7.06,3.93,2.96,0.49,103.41,1.39,29.07,5.84,93.03,169.92,76.89,3.0,57.64
2018-03-19,Recirculating Aquaculture System (RAS) - Industrial Scale,Carp (Common),Turkey,20.81,33.05,7.26,5.11,2.07,0.3,111.56,1.25,62.92,3.67,157.3,230.82,73.52,2.0,69.89
2020-07-04,Inland Raceway System,European Sea Bass,Brazil,19.12,37.27,7.75,4.53,2.55,0.38,135.74,1.33,17.3,6.97,70.92,120.59,49.67,2.5,71.27
2021-03-15,Recirculating Aquaculture System (RAS) - Industrial Scale,Tilapia (Blue),USA (Gulf Coast),16.99,30.12,7.52,6.39,2.05,0.36,73.15,1.0,-55.12,3.66,-115.75,-201.94,-86.19,4.0,52.59
2022-08-28,Inland Raceway System,Tilapia (Nile),China (Southern Coast),17.7,33.85,8.0,5.13,2.92,0.19,164.03,0.97,4.75,3.62,9.98,17.2,7.22,4.0,96.48
2020-01-09,Offshore Cage System,Tilapia (Blue),Spain,16.84,36.11,7.2,6.13,2.42,0.42,70.97,1.58,4.21,3.42,8.83,14.4,5.56,4.0,58.18
2022-12-23,Recirculating Aquaculture System (RAS) - Industrial Scale,Black Tiger Shrimp,China (Southern Coast),23.97,33.74,7.64,9.11,2.94,0.27,108.87,1.3,94.14,7.07,423.61,665.4,241.8,3.5,65.07
2021-02-27,Coastal Intensive Pond,Catfish (Channel),Indonesia,10.85,35.06,8.34,6.49,2.39,0.38,185.97,0.84,-187.49,3.67,-468.72,-688.76,-220.04,2.0,96.99
2021-06-17,Offshore Cage System,Black Tiger Shrimp,Spain,14.61,38.43,7.67,5.38,2.82,0.53,184.08,1.17,-232.56,6.24,-1046.51,-1450.13,-403.62,3.5,87.2
2020-09-01,Reservoir Aquaculture,Barramundi,Indonesia,17.91,35.21,7.26,6.72,2.67,0.4,66.59,1.35,25.6,3.68,64.01,94.34,30.34,2.0,69.86
2019-08-20,Offshore Cage System,Barramundi,Vietnam,19.78,36.13,7.88,4.62,2.93,0.44,154.09,1.18,84.43,3.82,211.08,322.26,111.17,2.0,95.42
2021-07-27,Coastal Intensive Pond,Catfish (Channel),USA (Gulf Coast),19.44,29.66,8.25,6.98,2.47,0.33,125.88,1.16,-169.82,3.57,-424.55,-606.06,-181.51,2.0,93.61
2022-12-23,Recirculating Aquaculture System (RAS) - Industrial Scale,Atlantic Salmon,China (Inland Provinces),22.55,37.18,7.74,6.34,2.1,0.35,136.44,1.56,82.55,5.54,264.15,456.98,192.83,3.0,96.28
2019-03-30,Coastal Intensive Pond,Rainbow Trout,Thailand,22.5,32.03,7.44,6.08,3.05,0.13,58.21,1.96,22.28,5.25,64.61,117.01,52.4,2.0,50.23
2019-07-27,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Tilapia (Nile),Ecuador,16.94,30.04,7.91,6.11,1.86,0.17,160.63,1.16,-199.37,3.44,-418.67,-685.72,-267.05,4.0,58.82
2022-08-19,Inland Raceway System,Chinook Salmon,Spain,21.25,26.91,7.47,5.65,2.85,0.48,51.96,1.84,-56.94,5.12,-182.2,-291.4,-109.2,3.0,98.05
2021-09-12,Integrated Multi-Trophic Aquaculture (IMTA) - Coastal,Barramundi,Scotland,20.66,31.68,8.79,6.09,2.51,0.3,81.49,2.27,-97.26,3.77,-243.14,-366.39,-123.25,2.0,53.29
2019-03-18,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Rainbow Trout,Brazil,16.46,34.24,8.25,2.02,3.05,0.42,73.29,0.88,9.57,5.32,27.75,50.92,23.17,2.0,97.31
2018-08-26,Recirculating Aquaculture System (RAS) - Small Scale,Chinook Salmon,Thailand,14.96,32.67,6.94,8.63,2.97,0.43,54.06,1.53,-44.64,5.21,-142.84,-232.46,-89.63,3.0,58.93
2020-01-19,Coastal Intensive Pond,Carp (Common),Canada (Atlantic),21.35,31.33,7.86,5.64,2.31,0.37,174.53,1.63,-10.6,4.26,-26.51,-45.15,-18.64,2.0,60.25
2019-06-08,Offshore Cage System,Carp (Common),Thailand,24.97,34.07,7.66,4.12,2.96,0.28,172.62,1.89,105.41,3.82,263.52,403.17,139.65,2.0,63.4
2022-09-07,Coastal Extensive Pond,White Leg Shrimp,China (Inland Provinces),13.23,31.16,8.38,2.88,3.35,0.32,164.54,1.47,-140.89,8.31,-634.02,-1171.22,-537.2,3.5,74.37
2022-04-24,Deep Sea Cage System,Carp (Silver),Canada (British Columbia),22.57,35.45,7.32,5.91,2.65,0.13,145.02,1.11,158.72,3.7,396.8,586.85,190.05,2.0,63.62
2022-05-22,Coastal Extensive Pond,European Sea Bass,Ecuador,22.5,35.59,7.01,6.61,1.65,0.4,80.96,1.64,22.25,5.52,91.24,122.94,31.7,2.5,95.0
2019-08-25,Coastal Intensive Pond,Carp (Common),Norway,23.28,37.95,8.33,7.52,1.58,0.17,127.84,1.4,-75.09,3.73,-187.73,-279.79,-92.06,2.0,80.16
2019-10-25,Coastal Extensive Pond,Catfish (Channel),Ecuador,22.99,33.17,6.8,4.62,1.82,0.2,134.96,1.82,15.38,4.25,38.45,65.42,26.97,2.0,96.84
2019-07-24,Recirculating Aquaculture System (RAS) - Industrial Scale,European Eel,Canada (Atlantic),17.71,37.1,7.21,6.18,3.78,0.29,100.14,1.55,-9.08,3.66,-22.69,-33.25,-10.55,2.0,74.77
2021-06-19,Recirculating Aquaculture System (RAS) - Industrial Scale,Catfish (Channel),Canada (Atlantic),20.33,33.12,8.41,7.06,2.22,0.36,90.82,1.79,-50.15,3.93,-125.38,-197.22,-71.84,2.0,54.58
2020-10-31,Recirculating Aquaculture System (RAS) - Industrial Scale,Chinook Salmon,Thailand,21.63,36.86,7.59,4.0,2.69,0.36,170.98,1.36,166.8,5.99,533.77,999.44,465.67,3.0,74.47
2019-06-12,Coastal Extensive Pond,European Eel,USA (Gulf Coast),25.16,36.29,7.6,6.41,1.86,0.19,188.66,1.82,49.63,4.55,124.08,225.88,101.81,2.0,73.71
2022-08-07,Deep Sea Cage System,Tilapia (Blue),Portugal,22.14,35.09,7.97,5.23,2.55,0.25,84.5,1.19,88.56,3.33,185.98,295.09,109.11,4.0,86.24
2018-09-07,Integrated Multi-Trophic Aquaculture (IMTA) - Coastal,Giant River Prawn,China (Inland Provinces),28.39,34.44,7.28,8.17,2.6,0.4,182.9,1.05,6.14,3.8,15.36,23.33,7.97,2.0,51.22
2018-03-23,Reservoir Aquaculture,Carp (Silver),Canada (British Columbia),22.41,38.2,7.24,8.11,3.65,0.26,181.05,1.0,10.67,4.36,26.68,46.58,19.9,2.0,86.88
2019-05-29,Reservoir Aquaculture,Gilthead Sea Bream,Australia (East Coast),13.21,33.74,7.36,3.98,2.04,0.2,56.31,1.27,-7.39,7.47,-30.29,-55.19,-24.9,2.5,71.39
2020-12-31,Reservoir Aquaculture,Carp (Common),Canada (Atlantic),29.75,32.0,7.99,5.68,2.48,0.37,142.01,1.85,-80.09,4.6,-200.22,-368.49,-168.27,2.0,75.63
2018-12-22,Recirculating Aquaculture System (RAS) - Small Scale,European Eel,Greece,30.11,33.09,7.23,5.07,2.22,0.24,58.68,1.86,-20.3,4.49,-50.75,-91.08,-40.34,2.0,96.39
2019-12-08,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Chinook Salmon,Portugal,29.1,33.29,7.08,6.71,2.22,0.36,83.57,1.25,-53.49,5.82,-171.16,-311.45,-140.29,3.0,93.87
2019-07-02,Recirculating Aquaculture System (RAS) - Small Scale,Tilapia (Blue),China (Southern Coast),22.82,33.16,7.31,6.43,2.67,0.37,63.05,2.1,26.54,3.55,55.74,94.16,38.42,4.0,62.99
2018-06-21,Coastal Intensive Pond,Black Tiger Shrimp,Canada (Atlantic),21.83,40.38,7.24,6.34,2.49,0.42,122.09,1.9,-63.6,8.19,-286.22,-520.66,-234.44,3.5,78.29
2019-02-13,Offshore Cage System,Black Tiger Shrimp,Vietnam,16.34,36.75,7.32,6.89,3.05,0.38,154.62,1.65,-22.25,7.59,-100.13,-168.86,-68.73,3.5,87.64
2018-12-10,Coastal Extensive Pond,Carp (Common),Vietnam,21.16,35.44,8.1,4.77,2.68,0.26,174.82,1.75,59.37,3.56,148.42,211.13,62.71,2.0,99.06
2018-12-13,Recirculating Aquaculture System (RAS) - Small Scale,Chinook Salmon,USA (Gulf Coast),14.55,30.92,7.87,6.97,3.58,0.27,164.15,1.57,-176.88,6.45,-566.02,-1141.21,-575.19,3.0,67.09
2020-08-13,Inland Raceway System,Carp (Common),Vietnam,25.04,35.56,7.28,6.29,3.04,0.2,60.1,1.36,27.56,3.92,68.89,107.93,39.03,2.0,93.58
2021-12-18,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Catfish (Channel),Ecuador,22.64,33.32,7.69,8.35,2.47,0.24,91.04,2.06,62.7,4.0,156.74,250.89,94.15,2.0,72.57
2019-12-24,Recirculating Aquaculture System (RAS) - Small Scale,Rainbow Trout,Thailand,24.2,33.49,6.99,7.06,2.62,0.24,148.18,1.43,4.14,5.43,12.0,22.46,10.45,2.0,97.18
2022-06-02,Reservoir Aquaculture,Black Tiger Shrimp,Ecuador,16.27,40.54,6.96,3.71,2.15,0.3,184.11,1.57,-192.74,6.41,-867.31,-1236.13,-368.82,3.5,51.56
2020-01-28,Recirculating Aquaculture System (RAS) - Industrial Scale,Chinook Salmon,Canada (British Columbia),15.74,39.33,7.46,7.68,2.67,0.35,165.64,1.22,-184.75,6.11,-591.19,-1128.54,-537.35,3.0,51.63
2018-08-22,Deep Sea Cage System,Gilthead Sea Bream,Australia (East Coast),23.62,35.59,7.85,5.87,3.22,0.23,80.08,2.04,56.56,5.36,231.89,303.04,71.15,2.5,79.1
2019-09-05,Reservoir Aquaculture,Black Tiger Shrimp,Canada (British Columbia),26.2,33.04,7.28,3.17,2.27,0.06,140.0,1.61,17.93,7.81,80.7,140.07,59.36,3.5,51.98
2021-01-07,Reservoir Aquaculture,European Sea Bass,Indonesia,24.39,32.1,7.48,5.99,1.92,0.45,133.95,1.76,14.48,5.96,59.37,86.28,26.91,2.5,75.89
2019-10-30,Integrated Multi-Trophic Aquaculture (IMTA) - Coastal,Catfish (Channel),Turkey,20.76,32.95,7.0,5.58,3.4,0.36,170.09,1.58,21.24,3.73,53.09,79.15,26.06,2.0,85.32
2018-02-15,Recirculating Aquaculture System (RAS) - Industrial Scale,Tilapia (Nile),Chile,18.01,35.18,7.18,7.05,2.7,0.39,100.92,1.69,59.42,3.33,124.79,198.14,73.35,4.0,94.74
2022-12-12,Deep Sea Cage System,Gilthead Sea Bream,Vietnam,28.59,35.59,8.54,4.97,3.37,0.32,62.24,1.19,-29.89,5.78,-122.54,-172.64,-50.1,2.5,89.48
2018-01-06,Reservoir Aquaculture,Tilapia (Nile),Australia (West Coast),19.35,34.93,8.57,8.59,2.72,0.3,79.93,1.54,-39.6,3.33,-83.17,-131.82,-48.65,4.0,51.53
2022-10-16,Recirculating Aquaculture System (RAS) - Industrial Scale,Barramundi,Australia (West Coast),20.71,29.99,7.7,6.97,2.26,0.46,101.89,1.03,-49.56,4.6,-123.89,-227.82,-103.93,2.0,86.26
2021-09-29,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Giant River Prawn,USA (Hawaii),32.01,38.24,7.48,5.74,2.94,0.37,186.85,1.03,-170.98,4.21,-427.46,-719.91,-292.46,2.0,81.58
2018-04-02,Coastal Intensive Pond,Catfish (Channel),Australia (East Coast),18.87,36.19,7.75,6.39,2.22,0.23,195.71,1.0,56.19,4.46,140.47,250.37,109.9,2.0,93.54
2019-01-31,Offshore Cage System,Gilthead Sea Bream,Vietnam,21.75,37.32,6.08,7.72,1.63,0.26,195.41,1.16,-184.28,6.71,-755.55,-1237.19,-481.63,2.5,66.26
2019-08-18,Deep Sea Cage System,Chinook Salmon,Ecuador,19.66,36.04,7.48,6.72,2.54,0.17,100.55,1.69,125.62,5.55,401.97,696.86,294.89,3.0,85.34
2019-03-30,Coastal Extensive Pond,Tilapia (Nile),China (Southern Coast),15.04,33.95,7.33,5.52,3.54,0.34,137.8,1.63,-3.54,3.43,-7.43,-12.12,-4.69,4.0,55.6
2020-03-26,Recirculating Aquaculture System (RAS) - Industrial Scale,Gilthead Sea Bream,USA (Gulf Coast),21.64,34.89,7.86,6.08,2.87,0.29,97.42,1.54,82.29,5.31,337.37,436.63,99.25,2.5,93.4
2020-11-21,Inland Raceway System,Tilapia (Nile),Australia (West Coast),24.26,37.99,6.05,9.13,2.43,0.41,80.28,1.19,-182.81,3.98,-383.9,-727.97,-344.07,4.0,54.7
2022-11-12,Coastal Intensive Pond,Black Tiger Shrimp,USA (Hawaii),18.88,40.74,7.4,6.33,2.94,0.35,191.69,1.79,-186.35,7.24,-838.56,-1348.56,-510.0,3.5,78.53
2021-05-01,Coastal Intensive Pond,Black Tiger Shrimp,China (Southern Coast),23.54,38.32,8.09,6.96,1.93,0.46,65.99,1.16,-39.05,8.69,-175.71,-339.41,-163.7,3.5,52.41
2019-08-05,Deep Sea Cage System,Tilapia (Blue),Canada (Atlantic),21.68,35.99,7.66,6.63,3.31,0.35,181.78,1.81,208.36,3.51,437.55,732.19,294.64,4.0,88.11
2022-04-19,Coastal Intensive Pond,Gilthead Sea Bream,Canada (Atlantic),24.85,34.11,8.19,5.77,2.56,0.28,98.69,1.5,3.97,6.12,16.27,24.28,8.01,2.5,84.77
2022-12-16,Offshore Cage System,Giant River Prawn,Thailand,17.04,28.54,7.18,4.02,3.32,0.4,142.92,1.52,-240.53,3.95,-601.32,-950.67,-349.36,2.0,73.96
2020-04-19,Offshore Cage System,White Leg Shrimp,China (Inland Provinces),27.63,30.83,6.68,7.53,3.72,0.44,171.95,1.67,-426.1,8.57,-1917.44,-3649.58,-1732.14,3.5,50.91
2018-06-20,Integrated Multi-Trophic Aquaculture (IMTA) - Coastal,Rainbow Trout,Turkey,25.79,35.84,7.55,5.91,2.12,0.27,122.88,1.79,55.84,4.64,161.95,259.3,97.35,2.0,76.96
2020-06-29,Integrated Multi-Trophic Aquaculture (IMTA) - Coastal,Atlantic Salmon,Indonesia,18.91,37.75,6.71,4.52,2.97,0.2,77.17,1.43,-32.52,5.12,-104.08,-166.64,-62.56,3.0,76.26
2022-04-12,Reservoir Aquaculture,Tilapia (Blue),Spain,18.99,35.96,6.7,6.66,2.49,0.36,170.9,1.64,-27.44,3.31,-57.63,-90.77,-33.14,4.0,80.08
2022-08-09,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Carp (Silver),Brazil,22.7,35.15,7.52,4.95,2.17,0.16,175.98,2.02,212.0,3.92,530.0,832.0,302.0,2.0,61.84
2021-01-14,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Atlantic Salmon,Vietnam,18.41,37.68,7.35,7.87,2.16,0.33,143.58,1.66,-9.12,5.81,-29.17,-52.98,-23.81,3.0,93.14
2019-01-10,Offshore Cage System,Catfish (Channel),Canada (Atlantic),18.33,34.44,7.44,6.07,2.43,0.4,84.79,2.16,63.62,4.18,159.05,265.94,106.89,2.0,74.84
2021-11-04,Integrated Multi-Trophic Aquaculture (IMTA) - Coastal,Giant River Prawn,Thailand,17.98,39.92,8.34,5.17,2.78,0.46,91.12,1.17,-92.93,3.64,-232.32,-338.31,-105.98,2.0,67.75
2022-06-23,Recirculating Aquaculture System (RAS) - Small Scale,Giant River Prawn,Vietnam,18.44,35.1,7.12,6.35,1.72,0.33,129.94,1.75,42.06,3.9,105.16,164.16,59.01,2.0,83.47
2018-08-17,Recirculating Aquaculture System (RAS) - Industrial Scale,European Sea Bass,USA (Hawaii),30.36,36.26,7.15,5.92,2.78,0.31,76.3,1.23,-39.88,5.67,-163.51,-226.16,-62.65,2.5,72.52
2018-03-25,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Carp (Common),Indonesia,22.41,32.79,8.12,7.64,2.8,0.19,198.87,1.41,-20.46,4.12,-51.15,-84.34,-33.19,2.0,92.1
2020-03-02,Deep Sea Cage System,Rainbow Trout,Canada (Atlantic),33.6,36.18,7.6,5.54,2.57,0.28,167.3,1.18,-157.71,4.35,-457.36,-686.2,-228.83,2.0,68.01
2022-02-13,Recirculating Aquaculture System (RAS) - Industrial Scale,Carp (Common),Canada (Atlantic),17.55,29.49,7.75,4.34,1.42,0.34,187.91,2.25,-179.36,4.6,-448.4,-825.44,-377.03,2.0,92.57
2020-04-08,Offshore Cage System,Rainbow Trout,Scotland,22.41,34.7,7.96,5.56,2.63,0.33,168.5,1.14,148.48,4.4,430.59,653.84,223.25,2.0,84.75
2022-09-27,Offshore Cage System,Carp (Common),Australia (East Coast),20.23,35.08,7.5,7.63,2.74,0.3,140.94,1.75,188.68,3.74,471.69,704.72,233.03,2.0,75.13
